table_index,csv_path,headings,rows,cols
1,tables/감사보고서_2014_table_001_삼성전자주식회사_감사보고서_제2014기__독립된_감사인의_감사보고서.csv,삼성전자주식회사 감사보고서 제2014기 > 독립된 감사인의 감사보고서,1,1
2,tables/감사보고서_2014_table_002_삼성전자주식회사_감사보고서_제2014기__재무제표.csv,삼성전자주식회사 감사보고서 제2014기 > 재무제표,53,6
3,tables/감사보고서_2014_table_003_삼성전자주식회사_감사보고서_제2014기__재무제표.csv,삼성전자주식회사 감사보고서 제2014기 > 재무제표,16,6
4,tables/감사보고서_2014_table_004_삼성전자주식회사_감사보고서_제2014기__재무제표.csv,삼성전자주식회사 감사보고서 제2014기 > 재무제표,8,6
5,tables/감사보고서_2014_table_005_삼성전자주식회사_감사보고서_제2014기__재무제표.csv,삼성전자주식회사 감사보고서 제2014기 > 재무제표,23,8
6,tables/감사보고서_2014_table_006_삼성전자주식회사_감사보고서_제2014기__재무제표.csv,삼성전자주식회사 감사보고서 제2014기 > 재무제표,31,6
7,"tables/감사보고서_2014_table_007_삼성전자주식회사_감사보고서_제2014기__주석__2._중요한_회계처리방침,_계속__2.11.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 2. 중요한 회계처리방침, 계속 > 2.11 유형자산",4,2
8,"tables/감사보고서_2014_table_008_삼성전자주식회사_감사보고서_제2014기__주석__2._중요한_회계처리방침,_계속__2.12.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 2. 중요한 회계처리방침, 계속 > 2.12 무형자산",3,2
9,tables/감사보고서_2014_table_009_삼성전자주식회사_감사보고서_제2014기__주석__4._현금및현금성자산.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 4. 현금및현금성자산,4,3
10,tables/감사보고서_2014_table_010_삼성전자주식회사_감사보고서_제2014기__주석__5._사용제한금융상품.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 5. 사용제한금융상품,2,3
11,tables/감사보고서_2014_table_011_삼성전자주식회사_감사보고서_제2014기__주석__6._범주별_금융상품__가._보고기간종료일.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 6. 범주별 금융상품 > 가. 보고기간종료일 현재 회사의 범주별 금융상품 내역은 다음과 같습니다.(1) 당기말,8,4
12,tables/감사보고서_2014_table_012_삼성전자주식회사_감사보고서_제2014기__주석__6._범주별_금융상품__가._보고기간종료일.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 6. 범주별 금융상품 > 가. 보고기간종료일 현재 회사의 범주별 금융상품 내역은 다음과 같습니다.(1) 당기말,9,4
13,"tables/감사보고서_2014_table_013_삼성전자주식회사_감사보고서_제2014기__주석__6._범주별_금융상품,_계속.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 6. 범주별 금융상품, 계속",8,4
14,"tables/감사보고서_2014_table_014_삼성전자주식회사_감사보고서_제2014기__주석__6._범주별_금융상품,_계속.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 6. 범주별 금융상품, 계속",9,4
15,"tables/감사보고서_2014_table_015_삼성전자주식회사_감사보고서_제2014기__주석__6._범주별_금융상품,_계속__나._금융상.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 6. 범주별 금융상품, 계속 > 나. 금융상품 범주별 순손익 구분(1) 당기말",8,5
16,"tables/감사보고서_2014_table_016_삼성전자주식회사_감사보고서_제2014기__주석__6._범주별_금융상품,_계속__나._금융상.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 6. 범주별 금융상품, 계속 > 나. 금융상품 범주별 순손익 구분(1) 당기말",4,5
17,"tables/감사보고서_2014_table_017_삼성전자주식회사_감사보고서_제2014기__주석__6._범주별_금융상품,_계속.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 6. 범주별 금융상품, 계속",8,5
18,"tables/감사보고서_2014_table_018_삼성전자주식회사_감사보고서_제2014기__주석__6._범주별_금융상품,_계속.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 6. 범주별 금융상품, 계속",3,5
19,tables/감사보고서_2014_table_019_삼성전자주식회사_감사보고서_제2014기__주석__7._금융자산의_신용건전성__가._매출채권.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 7. 금융자산의 신용건전성 > 가. 매출채권,13,3
20,"tables/감사보고서_2014_table_020_삼성전자주식회사_감사보고서_제2014기__주석__7._금융자산의_신용건전성,_계속__나._.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 7. 금융자산의 신용건전성, 계속 > 나. 현금성자산 및 단기금융상품",4,3
21,tables/감사보고서_2014_table_021_삼성전자주식회사_감사보고서_제2014기__주석__8._금융자산의_양도.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 8. 금융자산의 양도,3,3
22,tables/감사보고서_2014_table_022_삼성전자주식회사_감사보고서_제2014기__주석__9._매도가능금융자산.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 9. 매도가능금융자산,10,3
23,tables/감사보고서_2014_table_023_삼성전자주식회사_감사보고서_제2014기__주석__9._매도가능금융자산__가._단기매도가능금.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 9. 매도가능금융자산 > 가. 단기매도가능금융자산,5,3
24,"tables/감사보고서_2014_table_024_삼성전자주식회사_감사보고서_제2014기__주석__9._매도가능금융자산,_계속.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 9. 매도가능금융자산, 계속",6,3
25,"tables/감사보고서_2014_table_025_삼성전자주식회사_감사보고서_제2014기__주석__9._매도가능금융자산,_계속.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 9. 매도가능금융자산, 계속",7,3
26,"tables/감사보고서_2014_table_026_삼성전자주식회사_감사보고서_제2014기__주석__9._매도가능금융자산,_계속__나._장기매.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 9. 매도가능금융자산, 계속 > 나. 장기매도가능금융자산",5,3
27,"tables/감사보고서_2014_table_027_삼성전자주식회사_감사보고서_제2014기__주석__9._매도가능금융자산,_계속__(1)_지분.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 9. 매도가능금융자산, 계속 > (1) 지분증권- 상장주식",15,6
28,"tables/감사보고서_2014_table_028_삼성전자주식회사_감사보고서_제2014기__주석__9._매도가능금융자산,_계속__(2)_지분.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 9. 매도가능금융자산, 계속 > (2) 지분증권- 비상장주식",11,6
29,"tables/감사보고서_2014_table_029_삼성전자주식회사_감사보고서_제2014기__주석__9._매도가능금융자산,_계속__(3)_채무.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 9. 매도가능금융자산, 계속 > (3) 채무증권",5,3
30,"tables/감사보고서_2014_table_030_삼성전자주식회사_감사보고서_제2014기__주석__9._매도가능금융자산,_계속__(3)_채무.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 9. 매도가능금융자산, 계속 > (3) 채무증권",7,3
31,tables/감사보고서_2014_table_031_삼성전자주식회사_감사보고서_제2014기__주석__10._매출채권_및_미수금__가._보고기간.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 10. 매출채권 및 미수금 > 가. 보고기간종료일 현재 회사의 매출채권 및 미수금의 내역은 다음과 같습니다.,7,5
32,tables/감사보고서_2014_table_032_삼성전자주식회사_감사보고서_제2014기__주석__10._매출채권_및_미수금__나._당기_및.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 10. 매출채권 및 미수금 > 나. 당기 및 전기 중 대손충당금의 변동내역은 다음과 같습니다.,7,5
33,"tables/감사보고서_2014_table_033_삼성전자주식회사_감사보고서_제2014기__주석__10._매출채권_및_미수금,_계속__다._.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 10. 매출채권 및 미수금, 계속 > 다. 보",11,3
34,tables/감사보고서_2014_table_034_삼성전자주식회사_감사보고서_제2014기__주석__11._재고자산.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 11. 재고자산,7,7
35,"tables/감사보고서_2014_table_035_삼성전자주식회사_감사보고서_제2014기__주석__12._종속기업,_관계기업_및_공동기업_투.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 12. 종속기업, 관계기업 및 공동기업 투자 > 가. 당기 및 전기 중 종속기업, 관계기업 및 공동기업 투자의 변동내역은 다음과 같습니다.",7,3
36,"tables/감사보고서_2014_table_036_삼성전자주식회사_감사보고서_제2014기__주석__12._종속기업,_관계기업_및_공동기업_투.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 12. 종속기업, 관계기업 및 공동기업 투자, 계속 > 나. 보고기간종료일 현재 주요 관계기업 및 공동기업 투자 > (1) 관계기업 투자",5,4
37,"tables/감사보고서_2014_table_037_삼성전자주식회사_감사보고서_제2014기__주석__12._종속기업,_관계기업_및_공동기업_투.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 12. 종속기업, 관계기업 및 공동기업 투자, 계속 > 나. 보고기간종료일 현재 주요 관계기업 및 공동기업 투자 > (2) 공동기업 투자",2,4
38,"tables/감사보고서_2014_table_038_삼성전자주식회사_감사보고서_제2014기__주석__12._종속기업,_관계기업_및_공동기업_투.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 12. 종속기업, 관계기업 및 공동기업 투자, 계속 > 다. 보고기간종료일 현재 주요 종속기업 > (1) 주요 종속기업",16,5
39,"tables/감사보고서_2014_table_039_삼성전자주식회사_감사보고서_제2014기__주석__12._종속기업,_관계기업_및_공동기업_투.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 12. 종속기업, 관계기업 및 공동기업 투자, 계속",16,5
40,"tables/감사보고서_2014_table_040_삼성전자주식회사_감사보고서_제2014기__주석__12._종속기업,_관계기업_및_공동기업_투.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 12. 종속기업, 관계기업 및 공동기업 투자, 계속 > (2) 주요 관계기업1) 당기",6,4
41,"tables/감사보고서_2014_table_041_삼성전자주식회사_감사보고서_제2014기__주석__12._종속기업,_관계기업_및_공동기업_투.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 12. 종속기업, 관계기업 및 공동기업 투자, 계속 > (2) 주요 관계기업1) 당기",5,4
42,"tables/감사보고서_2014_table_042_삼성전자주식회사_감사보고서_제2014기__주석__12._종속기업,_관계기업_및_공동기업_투.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 12. 종속기업, 관계기업 및 공동기업 투자, 계속",6,6
43,"tables/감사보고서_2014_table_043_삼성전자주식회사_감사보고서_제2014기__주석__12._종속기업,_관계기업_및_공동기업_투.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 12. 종속기업, 관계기업 및 공동기업 투자, 계속",5,6
44,"tables/감사보고서_2014_table_044_삼성전자주식회사_감사보고서_제2014기__주석__12._종속기업,_관계기업_및_공동기업_투.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 12. 종속기업, 관계기업 및 공동기업 투자, 계속 > (3) 주요 공동기업 투자",3,9
45,"tables/감사보고서_2014_table_045_삼성전자주식회사_감사보고서_제2014기__주석__12._종속기업,_관계기업_및_공동기업_투.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 12. 종속기업, 관계기업 및 공동기업 투자, 계속 > 라. 보고기간종료일 현재 시장성있는 관계기업 투자주식의 내역은 다음과 같습니다.",6,6
46,tables/감사보고서_2014_table_046_삼성전자주식회사_감사보고서_제2014기__주석__13._유형자산__가._당기_및_전기_중_.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 13. 유형자산 > 가. 당기 및 전기 중 회사 유형자산의 변동내역은 다음과 같습니다.,11,7
47,"tables/감사보고서_2014_table_047_삼성전자주식회사_감사보고서_제2014기__주석__13._유형자산,_계속.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 13. 유형자산, 계속",12,7
48,"tables/감사보고서_2014_table_048_삼성전자주식회사_감사보고서_제2014기__주석__13._유형자산,_계속__나._당기_및_전.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 13. 유형자산, 계속 > 나. 당기 및 전기 중 계정과목별 유형자산 상각내역은 다음과 같습니다.",4,3
49,"tables/감사보고서_2014_table_049_삼성전자주식회사_감사보고서_제2014기__주석__13._유형자산,_계속__가._당기_및_전.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 13. 유형자산, 계속 > 가. 당기 및 전기 중 회사 무형자산의 변동내역은 다음과 같습니다.",9,7
50,"tables/감사보고서_2014_table_050_삼성전자주식회사_감사보고서_제2014기__주석__13._유형자산,_계속__가._당기_및_전.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 13. 유형자산, 계속 > 가. 당기 및 전기 중 회사 무형자산의 변동내역은 다음과 같습니다.",9,7
51,"tables/감사보고서_2014_table_051_삼성전자주식회사_감사보고서_제2014기__주석__13._유형자산,_계속__나._영업권.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 13. 유형자산, 계속 > 나. 영업권",3,3
52,"tables/감사보고서_2014_table_052_삼성전자주식회사_감사보고서_제2014기__주석__13._유형자산,_계속__다._당기_및_전.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 13. 유형자산, 계속 > 다. 당기 및 전기 중 계정과목별 무형자산 상각내역은 다음과 같습니다.",4,3
53,tables/감사보고서_2014_table_053_삼성전자주식회사_감사보고서_제2014기__주석__15._차입금.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 15. 차입금,3,5
54,tables/감사보고서_2014_table_054_삼성전자주식회사_감사보고서_제2014기__주석__16._사채__가._보고기간종료일_현재_회.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 16. 사채 > 가. 보고기간종료일 현재 회사의 사채의 내역은 다음과 같습니다.,6,6
55,tables/감사보고서_2014_table_055_삼성전자주식회사_감사보고서_제2014기__주석__16._사채__나._보고기간종료일_현재_사.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 16. 사채 > 나. 보고기간종료일 현재 사채의 연도별 상환계획은 다음과 같습니다.,7,2
56,tables/감사보고서_2014_table_056_삼성전자주식회사_감사보고서_제2014기__주석__16._사채__가._보고기간종료일.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 16. 사채 > 가. 보고기간종료일,6,3
57,tables/감사보고서_2014_table_057_삼성전자주식회사_감사보고서_제2014기__주석__16._사채__나._당기_및_전기_중_손익.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 16. 사채 > 나. 당기 및 전기 중 손익계산서에 인식한 확정급여제도 관련 비용의 세부 내역,5,3
58,"tables/감사보고서_2014_table_058_삼성전자주식회사_감사보고서_제2014기__주석__17._순확정급여부채(자산),_계속__다..csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 17. 순확정급여부채(자산), 계속 > 다. 당기 및 전기 중 손익계산서에 인식한 확정급여제도 관련 비용의 계정과목별 금액",4,3
59,"tables/감사보고서_2014_table_059_삼성전자주식회사_감사보고서_제2014기__주석__17._순확정급여부채(자산),_계속__라..csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 17. 순확정급여부채(자산), 계속 > 라. 당기 및 전기 중 확정급여채무의 변동내역은 다음과 같습니다.",12,3
